2018-06-11 00:19:21 status unpacked libgirepository-1.0-1:armhf 1.50.0-1
2018-06-11 00:19:21 status unpacked libgirepository-1.0-1:armhf 1.50.0-1
2018-06-11 00:19:22 install gir1.2-glib-2.0:armhf <none> 1.50.0-1
2018-06-11 00:19:22 status half-installed gir1.2-glib-2.0:armhf 1.50.0-1
2018-06-11 00:19:22 status unpacked gir1.2-glib-2.0:armhf 1.50.0-1
2018-06-11 00:19:22 status unpacked gir1.2-glib-2.0:armhf 1.50.0-1
2018-06-11 00:19:22 install libdbus-glib-1-2:armhf <none> 0.108-2
2018-06-11 00:19:22 status half-installed libdbus-glib-1-2:armhf 0.108-2
2018-06-11 00:19:22 status unpacked libdbus-glib-1-2:armhf 0.108-2
2018-06-11 00:19:22 status unpacked libdbus-glib-1-2:armhf 0.108-2
2018-06-11 00:19:22 install libexpat1-dev:armhf <none> 2.2.0-2+deb9u1
2018-06-11 00:19:22 status half-installed libexpat1-dev:armhf 2.2.0-2+deb9u1
2018-06-11 00:19:22 status unpacked libexpat1-dev:armhf 2.2.0-2+deb9u1
2018-06-11 00:19:22 status unpacked libexpat1-dev:armhf 2.2.0-2+deb9u1
2018-06-11 00:19:22 install libpython3.5-dev:armhf <none> 3.5.3-1
2018-06-11 00:19:22 status half-installed libpython3.5-dev:armhf 3.5.3-1
2018-06-11 00:19:28 status triggers-pending man-db:armhf 2.7.6.1-2
2018-06-11 00:19:30 status unpacked libpython3.5-dev:armhf 3.5.3-1
2018-06-11 00:19:30 status unpacked libpython3.5-dev:armhf 3.5.3-1
2018-06-11 00:19:30 install libpython3-dev:armhf <none> 3.5.3-1
2018-06-11 00:19:30 status half-installed libpython3-dev:armhf 3.5.3-1
2018-06-11 00:19:30 status unpacked libpython3-dev:armhf 3.5.3-1
2018-06-11 00:19:30 status unpacked libpython3-dev:armhf 3.5.3-1
2018-06-11 00:19:30 install python-pip-whl:all <none> 9.0.1-2+rpt2
2018-06-11 00:19:30 status half-installed python-pip-whl:all 9.0.1-2+rpt2
2018-06-11 00:19:31 status unpacked python-pip-whl:all 9.0.1-2+rpt2
2018-06-11 00:19:31 status unpacked python-pip-whl:all 9.0.1-2+rpt2
2018-06-11 00:19:31 install python3-cffi-backend:armhf <none> 1.9.1-2
2018-06-11 00:19:31 status half-installed python3-cffi-backend:armhf 1.9.1-2
2018-06-11 00:19:31 status unpacked python3-cffi-backend:armhf 1.9.1-2
2018-06-11 00:19:31 status unpacked python3-cffi-backend:armhf 1.9.1-2
2018-06-11 00:19:31 install python3-crypto:armhf <none> 2.6.1-7
2018-06-11 00:19:31 status half-installed python3-crypto:armhf 2.6.1-7
2018-06-11 00:19:31 status unpacked python3-crypto:armhf 2.6.1-7
2018-06-11 00:19:31 status unpacked python3-crypto:armhf 2.6.1-7
2018-06-11 00:19:31 install python3-idna:all <none> 2.2-1
2018-06-11 00:19:31 status half-installed python3-idna:all 2.2-1
2018-06-11 00:19:32 status unpacked python3-idna:all 2.2-1
2018-06-11 00:19:32 status unpacked python3-idna:all 2.2-1
2018-06-11 00:19:32 install python3-pyasn1:all <none> 0.1.9-2
2018-06-11 00:19:32 status half-installed python3-pyasn1:all 0.1.9-2
2018-06-11 00:19:32 status unpacked python3-pyasn1:all 0.1.9-2
2018-06-11 00:19:32 status unpacked python3-pyasn1:all 0.1.9-2
2018-06-11 00:19:32 install python3-pkg-resources:all <none> 33.1.1-1
2018-06-11 00:19:32 status half-installed python3-pkg-resources:all 33.1.1-1
2018-06-11 00:19:32 status unpacked python3-pkg-resources:all 33.1.1-1
2018-06-11 00:19:32 status unpacked python3-pkg-resources:all 33.1.1-1
2018-06-11 00:19:32 install python3-setuptools:all <none> 33.1.1-1
2018-06-11 00:19:32 status half-installed python3-setuptools:all 33.1.1-1
2018-06-11 00:19:32 status unpacked python3-setuptools:all 33.1.1-1
2018-06-11 00:19:32 status unpacked python3-setuptools:all 33.1.1-1
2018-06-11 00:19:32 install python3-six:all <none> 1.10.0-3
2018-06-11 00:19:32 status half-installed python3-six:all 1.10.0-3
2018-06-11 00:19:32 status unpacked python3-six:all 1.10.0-3
2018-06-11 00:19:32 status unpacked python3-six:all 1.10.0-3
2018-06-11 00:19:32 install python3-cryptography:armhf <none> 1.7.1-3+b2
2018-06-11 00:19:32 status half-installed python3-cryptography:armhf 1.7.1-3+b2
2018-06-11 00:19:33 status unpacked python3-cryptography:armhf 1.7.1-3+b2
2018-06-11 00:19:33 status unpacked python3-cryptography:armhf 1.7.1-3+b2
2018-06-11 00:19:33 install python3-dbus:armhf <none> 1.2.4-1
2018-06-11 00:19:33 status half-installed python3-dbus:armhf 1.2.4-1
2018-06-11 00:19:33 status unpacked python3-dbus:armhf 1.2.4-1
2018-06-11 00:19:33 status unpacked python3-dbus:armhf 1.2.4-1
2018-06-11 00:19:33 install python3.5-dev:armhf <none> 3.5.3-1
2018-06-11 00:19:33 status half-installed python3.5-dev:armhf 3.5.3-1
2018-06-11 00:19:33 status unpacked python3.5-dev:armhf 3.5.3-1
2018-06-11 00:19:33 status unpacked python3.5-dev:armhf 3.5.3-1
2018-06-11 00:19:33 install python3-dev:armhf <none> 3.5.3-1
2018-06-11 00:19:33 status half-installed python3-dev:armhf 3.5.3-1
2018-06-11 00:19:33 status unpacked python3-dev:armhf 3.5.3-1
2018-06-11 00:19:33 status unpacked python3-dev:armhf 3.5.3-1
2018-06-11 00:19:33 install python3-distlib:all <none> 0.2.4-1
2018-06-11 00:19:33 status half-installed python3-distlib:all 0.2.4-1
2018-06-11 00:19:33 status unpacked python3-distlib:all 0.2.4-1
2018-06-11 00:19:33 status unpacked python3-distlib:all 0.2.4-1
2018-06-11 00:19:33 install python3-gi:armhf <none> 3.22.0-2
2018-06-11 00:19:33 status half-installed python3-gi:armhf 3.22.0-2
2018-06-11 00:19:33 status unpacked python3-gi:armhf 3.22.0-2
2018-06-11 00:19:34 status unpacked python3-gi:armhf 3.22.0-2
2018-06-11 00:19:34 install python3-secretstorage:all <none> 2.3.1-2
2018-06-11 00:19:34 status half-installed python3-secretstorage:all 2.3.1-2
2018-06-11 00:19:34 status unpacked python3-secretstorage:all 2.3.1-2
2018-06-11 00:19:34 status unpacked python3-secretstorage:all 2.3.1-2
2018-06-11 00:19:34 install python3-keyring:all <none> 10.1-1
2018-06-11 00:19:34 status half-installed python3-keyring:all 10.1-1
2018-06-11 00:19:34 status unpacked python3-keyring:all 10.1-1
2018-06-11 00:19:34 status unpacked python3-keyring:all 10.1-1
2018-06-11 00:19:34 install python3-keyrings.alt:all <none> 1.3-1
2018-06-11 00:19:34 status half-installed python3-keyrings.alt:all 1.3-1
2018-06-11 00:19:34 status unpacked python3-keyrings.alt:all 1.3-1
2018-06-11 00:19:34 status unpacked python3-keyrings.alt:all 1.3-1
2018-06-11 00:19:34 install python3-pip:all <none> 9.0.1-2+rpt2
2018-06-11 00:19:34 status half-installed python3-pip:all 9.0.1-2+rpt2
2018-06-11 00:19:34 status unpacked python3-pip:all 9.0.1-2+rpt2
2018-06-11 00:19:34 status unpacked python3-pip:all 9.0.1-2+rpt2
2018-06-11 00:19:34 install python3-wheel:all <none> 0.29.0-2
2018-06-11 00:19:34 status half-installed python3-wheel:all 0.29.0-2
2018-06-11 00:19:35 status unpacked python3-wheel:all 0.29.0-2
2018-06-11 00:19:35 status unpacked python3-wheel:all 0.29.0-2
2018-06-11 00:19:35 install python3-xdg:all <none> 0.25-4
2018-06-11 00:19:35 status half-installed python3-xdg:all 0.25-4
2018-06-11 00:19:35 status unpacked python3-xdg:all 0.25-4
2018-06-11 00:19:35 status unpacked python3-xdg:all 0.25-4
2018-06-11 00:19:35 startup packages configure
2018-06-11 00:19:35 configure python-pip-whl:all 9.0.1-2+rpt2 <none>
2018-06-11 00:19:35 status unpacked python-pip-whl:all 9.0.1-2+rpt2
2018-06-11 00:19:35 status unpacked python-pip-whl:all 9.0.1-2+rpt2
2018-06-11 00:19:35 status half-configured python-pip-whl:all 9.0.1-2+rpt2
2018-06-11 00:19:35 status installed python-pip-whl:all 9.0.1-2+rpt2
2018-06-11 00:19:35 configure python3-cffi-backend:armhf 1.9.1-2 <none>
2018-06-11 00:19:35 status unpacked python3-cffi-backend:armhf 1.9.1-2
2018-06-11 00:19:35 status half-configured python3-cffi-backend:armhf 1.9.1-2
2018-06-11 00:19:35 status installed python3-cffi-backend:armhf 1.9.1-2
2018-06-11 00:19:35 configure python3-crypto:armhf 2.6.1-7 <none>
2018-06-11 00:19:35 status unpacked python3-crypto:armhf 2.6.1-7
2018-06-11 00:19:35 status half-configured python3-crypto:armhf 2.6.1-7
2018-06-11 00:19:36 status installed python3-crypto:armhf 2.6.1-7
2018-06-11 00:19:36 configure libdbus-glib-1-2:armhf 0.108-2 <none>
2018-06-11 00:19:36 status unpacked libdbus-glib-1-2:armhf 0.108-2
2018-06-11 00:19:36 status half-configured libdbus-glib-1-2:armhf 0.108-2
2018-06-11 00:19:36 status installed libdbus-glib-1-2:armhf 0.108-2
2018-06-11 00:19:36 configure python3-idna:all 2.2-1 <none>
2018-06-11 00:19:36 status unpacked python3-idna:all 2.2-1
2018-06-11 00:19:37 status half-configured python3-idna:all 2.2-1
2018-06-11 00:19:38 status installed python3-idna:all 2.2-1
2018-06-11 00:19:38 configure python3-xdg:all 0.25-4 <none>
2018-06-11 00:19:38 status unpacked python3-xdg:all 0.25-4
2018-06-11 00:19:38 status half-configured python3-xdg:all 0.25-4
2018-06-11 00:19:39 status installed python3-xdg:all 0.25-4
2018-06-11 00:19:39 configure python3-keyrings.alt:all 1.3-1 <none>
2018-06-11 00:19:39 status unpacked python3-keyrings.alt:all 1.3-1
2018-06-11 00:19:39 status half-configured python3-keyrings.alt:all 1.3-1
2018-06-11 00:19:40 status installed python3-keyrings.alt:all 1.3-1
2018-06-11 00:19:40 configure python3-six:all 1.10.0-3 <none>
2018-06-11 00:19:40 status unpacked python3-six:all 1.10.0-3
2018-06-11 00:19:40 status half-configured python3-six:all 1.10.0-3
2018-06-11 00:19:41 status installed python3-six:all 1.10.0-3
2018-06-11 00:19:41 configure python3-wheel:all 0.29.0-2 <none>
2018-06-11 00:19:41 status unpacked python3-wheel:all 0.29.0-2
2018-06-11 00:19:41 status half-configured python3-wheel:all 0.29.0-2
2018-06-11 00:19:42 status installed python3-wheel:all 0.29.0-2
2018-06-11 00:19:42 configure python3-pkg-resources:all 33.1.1-1 <none>
2018-06-11 00:19:42 status unpacked python3-pkg-resources:all 33.1.1-1
2018-06-11 00:19:42 status half-configured python3-pkg-resources:all 33.1.1-1
2018-06-11 00:19:43 status installed python3-pkg-resources:all 33.1.1-1
2018-06-11 00:19:43 configure libgirepository-1.0-1:armhf 1.50.0-1 <none>
2018-06-11 00:19:43 status unpacked libgirepository-1.0-1:armhf 1.50.0-1
2018-06-11 00:19:43 status half-configured libgirepository-1.0-1:armhf 1.50.0-1
2018-06-11 00:19:43 status installed libgirepository-1.0-1:armhf 1.50.0-1
2018-06-11 00:19:43 configure python3-distlib:all 0.2.4-1 <none>
2018-06-11 00:19:43 status unpacked python3-distlib:all 0.2.4-1
2018-06-11 00:19:44 status half-configured python3-distlib:all 0.2.4-1
2018-06-11 00:19:45 status installed python3-distlib:all 0.2.4-1
2018-06-11 00:19:45 configure python3-pyasn1:all 0.1.9-2 <none>
2018-06-11 00:19:45 status unpacked python3-pyasn1:all 0.1.9-2
2018-06-11 00:19:45 status half-configured python3-pyasn1:all 0.1.9-2
2018-06-11 00:19:46 status installed python3-pyasn1:all 0.1.9-2
2018-06-11 00:19:46 configure gir1.2-glib-2.0:armhf 1.50.0-1 <none>
2018-06-11 00:19:46 status unpacked gir1.2-glib-2.0:armhf 1.50.0-1
2018-06-11 00:19:46 status half-configured gir1.2-glib-2.0:armhf 1.50.0-1
2018-06-11 00:19:46 status installed gir1.2-glib-2.0:armhf 1.50.0-1
2018-06-11 00:19:46 trigproc libc-bin:armhf 2.24-11+deb9u3 <none>
2018-06-11 00:19:46 status half-configured libc-bin:armhf 2.24-11+deb9u3
2018-06-11 00:19:46 status installed libc-bin:armhf 2.24-11+deb9u3
2018-06-11 00:19:46 configure python3-pip:all 9.0.1-2+rpt2 <none>
2018-06-11 00:19:46 status unpacked python3-pip:all 9.0.1-2+rpt2
2018-06-11 00:19:46 status half-configured python3-pip:all 9.0.1-2+rpt2
2018-06-11 00:19:47 status installed python3-pip:all 9.0.1-2+rpt2
2018-06-11 00:19:47 configure libexpat1-dev:armhf 2.2.0-2+deb9u1 <none>
2018-06-11 00:19:47 status unpacked libexpat1-dev:armhf 2.2.0-2+deb9u1
2018-06-11 00:19:47 status half-configured libexpat1-dev:armhf 2.2.0-2+deb9u1
2018-06-11 00:19:47 status installed libexpat1-dev:armhf 2.2.0-2+deb9u1
2018-06-11 00:19:47 trigproc man-db:armhf 2.7.6.1-2 <none>
2018-06-11 00:19:47 status half-configured man-db:armhf 2.7.6.1-2
2018-06-11 00:19:48 status installed man-db:armhf 2.7.6.1-2
2018-06-11 00:19:48 configure python3-setuptools:all 33.1.1-1 <none>
2018-06-11 00:19:48 status unpacked python3-setuptools:all 33.1.1-1
2018-06-11 00:19:48 status half-configured python3-setuptools:all 33.1.1-1
2018-06-11 00:19:50 status installed python3-setuptools:all 33.1.1-1
2018-06-11 00:19:50 configure python3-cryptography:armhf 1.7.1-3+b2 <none>
2018-06-11 00:19:50 status unpacked python3-cryptography:armhf 1.7.1-3+b2
2018-06-11 00:19:50 status half-configured python3-cryptography:armhf 1.7.1-3+b2
2018-06-11 00:19:51 status installed python3-cryptography:armhf 1.7.1-3+b2
2018-06-11 00:19:51 configure python3-dbus:armhf 1.2.4-1 <none>
2018-06-11 00:19:51 status unpacked python3-dbus:armhf 1.2.4-1
2018-06-11 00:19:51 status half-configured python3-dbus:armhf 1.2.4-1
2018-06-11 00:19:52 status installed python3-dbus:armhf 1.2.4-1
2018-06-11 00:19:52 configure python3-gi:armhf 3.22.0-2 <none>
2018-06-11 00:19:52 status triggers-pending libc-bin:armhf 2.24-11+deb9u3
2018-06-11 00:19:52 status unpacked python3-gi:armhf 3.22.0-2
2018-06-11 00:19:52 status half-configured python3-gi:armhf 3.22.0-2
2018-06-11 00:19:53 status installed python3-gi:armhf 3.22.0-2
2018-06-11 00:19:53 configure libpython3.5-dev:armhf 3.5.3-1 <none>
2018-06-11 00:19:53 status unpacked libpython3.5-dev:armhf 3.5.3-1
2018-06-11 00:19:53 status half-configured libpython3.5-dev:armhf 3.5.3-1
2018-06-11 00:19:53 status installed libpython3.5-dev:armhf 3.5.3-1
2018-06-11 00:19:53 configure python3.5-dev:armhf 3.5.3-1 <none>
2018-06-11 00:19:53 status unpacked python3.5-dev:armhf 3.5.3-1
